Date & Time	Document	Draft	Total Words	Average Sentence	Rating	Passive Index	Rating	Style Index	Rating	Bog Index	Rating	Reading Grade	Rating	Jargon	Rating	Glue	Rating	Pep	Rating	Task	Audience	Author
06 Aug 2019 13:46	64311_01062005_01242005.docx	Original	172	20.0	Good	13	Good	52	Fair	84	Poor	14.7	Fairly Difficult	5.8	Bad	31	Concise	7	Poor	General Writing	Public	Damon Hao
06 Aug 2019 13:46	64936_09242005_10102005.docx	Original	235	15.6	Excellent	13	Good	93	Poor	93	Poor	13.4	Fairly Difficult	2.6	Fair	29	Concise	9	Fair	General Writing	Public	Damon Hao
06 Aug 2019 13:46	68292_10292012_11282012.docx	Original	268	25.3	Bad	20	Good	44	Fair	64	Fair	14.8	Fairly Difficult	1.9	Good	34	Concise	6	Poor	General Writing	Public	Damon Hao
06 Aug 2019 13:47	70033_05182005_05202005.docx	Original	103	14.0	Excellent	14	Good	38	Good	51	Fair	9.5	Fairly Easy	2.9	Fair	39	Concise	11	Fair	General Writing	Public	Damon Hao
06 Aug 2019 13:47	75241_09242005_09282005.docx	Original	357	24.4	Poor	64	Bad	72	Poor	71	Poor	15.2	Difficult	2.0	Good	36	Concise	8	Poor	General Writing	Public	Damon Hao
06 Aug 2019 13:47	75526_08032010_08042010.docx	Original	102	14.3	Excellent	14	Good	58	Fair	45	Fair	10.5	Fairly Easy	8.8	Dreadful	33	Concise	10	Fair	General Writing	Public	Damon Hao
06 Aug 2019 13:48	76081_06252010_07012010.docx	Original	375	32.9	Bad	36	Poor	112	Bad	85	Poor	18.6	Very Difficult	0.8	Excellent	43	Fair	8	Poor	General Writing	Public	Damon Hao
06 Aug 2019 13:48	76613_01122005_01132005.docx	Original	321	19.6	Good	25	Fair	90	Poor	82	Poor	13.7	Fairly Difficult	4.4	Bad	36	Concise	7	Poor	General Writing	Public	Damon Hao
06 Aug 2019 13:49	76684_08252005_08312005.docx	Original	327	19.9	Good	31	Fair	94	Poor	58	Fair	13.1	Fairly Difficult	2.1	Fair	37	Concise	12	Fair	General Writing	Public	Damon Hao
06 Aug 2019 13:49	76684_08252005_09042005.docx	Original	282	16.4	Excellent	24	Fair	35	Good	33	Good	9.0	Fairly Easy	1.1	Good	37	Concise	12	Fair	General Writing	Public	Damon Hao
06 Aug 2019 13:52	76708_11012010_11042010.docx	Original	246	24.2	Poor	30	Fair	109	Bad	70	Fair	14.7	Fairly Difficult	0.8	Excellent	39	Concise	9	Fair	General Writing	Public	Damon Hao
06 Aug 2019 13:52	77053_08252005_08282005.docx	Original	171	15.5	Excellent	27	Fair	52	Fair	45	Fair	9.0	Fairly Easy	4.1	Bad	37	Concise	10	Fair	General Writing	Public	Damon Hao
06 Aug 2019 13:52	77053_08252005_08312005.docx	Original	373	17.4	Excellent	14	Good	58	Fair	52	Fair	11.0	Standard	2.1	Fair	36	Concise	9	Fair	General Writing	Public	Damon Hao
06 Aug 2019 13:53	77053_08252005_09012005.docx	Original	352	17.9	Excellent	5	Excellent	31	Good	42	Fair	11.8	Standard	1.7	Good	35	Concise	10	Fair	General Writing	Public	Damon Hao
06 Aug 2019 13:53	77053_08252005_09072005.docx	Original	353	18.2	Excellent	26	Fair	56	Fair	45	Fair	10.7	Fairly Easy	0.8	Excellent	37	Concise	11	Fair	General Writing	Public	Damon Hao
06 Aug 2019 13:54	77053_08252005_09092005_1.docx	Original	526	13.0	Excellent	13	Good	57	Fair	50	Fair	10.8	Fairly Easy	1.1	Good	32	Concise	11	Fair	General Writing	Public	Damon Hao
06 Aug 2019 13:54	77053_08252005_09092005_2.docx	Original	221	15.0	Excellent	14	Good	49	Fair	45	Fair	9.5	Fairly Easy	1.4	Good	34	Concise	11	Fair	General Writing	Public	Damon Hao
06 Aug 2019 13:54	77053_08252005_09202005.docx	Original	217	17.4	Excellent	8	Excellent	64	Fair	30	Good	10.4	Fairly Easy	1.8	Good	25	Concise	17	Good	General Writing	Public	Damon Hao
06 Aug 2019 13:55	77481_09132008_10042008.docx	Original	383	22.2	Fair	31	Fair	101	Bad	91	Poor	15.7	Difficult	2.3	Fair	35	Concise	8	Poor	General Writing	Public	Damon Hao
06 Aug 2019 13:55	77605_04092010_05062010.docx	Original	102	24.8	Poor	25	Fair	98	Poor	64	Fair	14.1	Fairly Difficult	6.9	Dreadful	37	Concise	10	Fair	General Writing	Public	Damon Hao
06 Aug 2019 13:55	77606_08252005_09062005.docx	Original	421	21.7	Fair	21	Fair	57	Fair	62	Fair	13.5	Fairly Difficult	3.3	Poor	40	Fair	9	Fair	General Writing	Public	Damon Hao
06 Aug 2019 13:56	78045_05042012_05102012.docx	Original	76	18.3	Excellent	25	Fair	52	Fair	37	Good	9.4	Fairly Easy	3.9	Poor	34	Concise	12	Fair	General Writing	Public	Damon Hao
06 Aug 2019 13:56	78045_05042012_05152012.docx	Original	76	22.0	Fair	33	Fair	52	Fair	42	Fair	10.9	Fairly Easy	3.9	Poor	34	Concise	11	Fair	General Writing	Public	Damon Hao
06 Aug 2019 13:56	78073_07192011_08092011.docx	Original	211	26.0	Bad	25	Fair	123	Bad	71	Poor	15.2	Difficult	0.9	Excellent	36	Concise	11	Fair	General Writing	Public	Damon Hao
06 Aug 2019 13:57	79323_08252005_08272005.docx	Original	247	14.5	Excellent	19	Good	24	Good	30	Good	10.0	Fairly Easy	2.0	Good	34	Concise	22	Excellent	General Writing	Public	Damon Hao
